C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,1,0.7114970382337102,0.6850226123969141,0.6156972921274434,0.5591141027032895
0.001,Validation,0,0.7044490812411658,0.72,0.763147958358056,0.811797108101905
0.001,Validation,1,0.7044490812411658,0.6740858505564388,0.607069351230425,0.5521732052742959
0.001,Test,0,0.706266406407754,0.7210365853658537,0.7647946534440013,0.814207023181088
0.001,Test,1,0.706266406407754,0.6772971895555112,0.6089605734767025,0.5531499267458896
0.001,Train,0,0.7135858793612805,0.7313863557659009,0.7679301881647123,0.8083179179689992
0.001,Train,1,0.7135858793612805,0.6808284652150823,0.6260071292543581,0.5793564714389009
0.001,Validation,0,0.7066029481052702,0.7256710539952327,0.7626204868485542,0.803534542116135
0.001,Validation,1,0.7066029481052702,0.6712749615975423,0.6159809708395736,0.5691030441152531
0.001,Test,0,0.7079491148953355,0.7275091003640146,0.7632713186753233,0.8027312370897407
0.001,Test,1,0.7079491148953355,0.6720717283479588,0.6188844971453668,0.5734982907374248
0.001,Train,0,0.710558369126226,0.7318539297700747,0.763921568627451,0.7989282003609122
0.001,Train,1,0.710558369126226,0.6727191811303961,0.6260250144951545,0.585392301138564
0.001,Validation,0,0.7066029481052702,0.7279388673715064,0.7613729676465758,0.7980261647922883
0.001,Validation,1,0.7066029481052702,0.6681749622926093,0.6192015375207478,0.5769168158880026
0.001,Test,0,0.7092952816854008,0.7307571143547201,0.7631737676152877,0.7985999540968556
0.001,Test,1,0.7092952816854008,0.670978627671541,0.6236821469025007,0.5826143578056324
0.001,Train,0,0.7131959052026364,0.7355711821679713,0.764865486318694,0.7965898749940131
0.001,Train,1,0.7131959052026364,0.6744096902790555,0.6324227174694464,0.5953573362208987
0.001,Validation,0,0.7074779565188127,0.7309156269824487,0.7608408540611931,0.7933210924948358
0.001,Validation,1,0.7074779565188127,0.6664197073532135,0.6234621382775949,0.5857073091323458
0.001,Test,0,0.71010298175944,0.7335948266723206,0.7626604948476332,0.7941243975212302
0.001,Test,1,0.71010298175944,0.6692477876106194,0.6276476182242586,0.5909164903141787
0.001,Train,0,0.7128789389708815,0.7367133556914579,0.7642905384662614,0.7940125871746896
0.001,Train,1,0.7128789389708815,0.6719712873298571,0.6327838535854351,0.5979151602795855
0.001,Validation,0,0.7087568149693747,0.7330783126128998,0.7612689655172413,0.7917144824420472
0.001,Validation,1,0.7087568149693747,0.6667278736687478,0.6266286996289585,0.591079277226111
0.001,Test,0,0.7101702900989433,0.7348178137651822,0.7620994475138122,0.7914849667202203
0.001,Test,1,0.7101702900989433,0.6678852129409615,0.6292405717237817,0.5948233762005535
0.001,Train,0,0.7132311696470641,0.7382574271550341,0.7641054982373895,0.7918292403029608
0.001,Train,1,0.7132311696470641,0.6707803992740472,0.6343793803816117,0.6017257285504966
0.001,Validation,0,0.7092279733458976,0.7341219096334186,0.7612995911150403,0.7905669038329125
0.001,Validation,1,0.7092279733458976,0.6665448565686095,0.628099173553719,0.5938466547289598
0.001,Test,0,0.7099683650804335,0.7352344334080957,0.7616308015710571,0.7899931145283452
0.001,Test,1,0.7099683650804335,0.6669093556607207,0.6297155624301796,0.5964512453198763
0.01,Train,0,0.7185816876122083,0.7407277816655004,0.7715014577259475,0.8049429657794677
0.01,Train,1,0.7185816876122083,0.6789737171464331,0.6337616822429907,0.5941949616648412
0.01,Validation,0,0.7035067644881201,0.722687338501292,0.7604546196095492,0.8023869635070002
0.01,Validation,1,0.7035067644881201,0.6676958703203396,0.611037527593819,0.563242715285691
0.01,Test,0,0.7061317897287473,0.7244476564113153,0.7627173913043478,0.8052559100298371
0.01,Test,1,0.7061317897287473,0.67182363179269,0.6141064168287078,0.5655217320527429
0.01,Train,0,0.7189498485358465,0.7475674683311915,0.7647666447553761,0.7827758554402153
0.01,Train,1,0.7189498485358465,0.6739757645701097,0.6509683711857323,0.6294799245486392
0.01,Validation,0,0.7109779901729825,0.7424840904103577,0.7591429212474758,0.7765664448014689
0.01,Validation,1,0.7109779901729825,0.6609785826223228,0.6387346458017836,0.6179391176949374
