C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6906910650179497,0.6898909438993539,0.7648719843841795,0.8581391393094063
0.001,Train,1,0.6906910650179497,0.6928459626185434,0.5481298029646356,0.45342251144854184
0.001,Validation,0,0.6870162213098203,0.6878698224852071,0.7619047619047619,0.8537984851962359
0.001,Validation,1,0.6870162213098203,0.6847315021034397,0.543401413982718,0.4504313853166205
0.001,Test,0,0.6949586053712055,0.6932889628397116,0.7679705099324186,0.8606839568510443
0.001,Test,1,0.6949586053712055,0.6994305521168606,0.5549008053427618,0.4598730262086928
0.001,Train,0,0.6998586461441809,0.7026898281939725,0.7678853394874287,0.8464157294774692
0.001,Train,1,0.6998586461441809,0.6930428134556575,0.5754276827371695,0.4919411732783416
0.001,Validation,0,0.6947566803526957,0.6994749403341288,0.76366668403773,0.8408308469130136
0.001,Validation,1,0.6947566803526957,0.6834778639890461,0.5691211401425178,0.4875468012371805
0.001,Test,0,0.7014875143030221,0.7045606654555885,0.7686851301309132,0.8456506770713794
0.001,Test,1,0.7014875143030221,0.6941791723510686,0.5792619296081966,0.4969884421292528
0.01,Train,0,0.697935368043088,0.6952554744525548,0.7725582967218655,0.8692015209125475
0.01,Train,1,0.697935368043088,0.7054794520547946,0.5504342017368069,0.45125958378970427
0.01,Validation,0,0.6809584707545265,0.6804067550390412,0.7597323600973236,0.8599954096855634
0.01,Validation,1,0.6809584707545265,0.6825396825396826,0.5253354696575205,0.42699006999837213
0.01,Test,0,0.6880931547418725,0.6850172319970977,0.7652482269503547,0.8667661234794584
0.01,Test,1,0.6880931547418725,0.696945967110415,0.5353920192500501,0.4346410548591893
0.01,Train,0,0.7165937394816561,0.7358124779696863,0.767745494667157,0.8025759323337178
0.01,Train,1,0.7165937394816561,0.6829268292682927,0.636546762589928,0.596065750471571
0.01,Validation,0,0.7049202396176887,0.7289551607445008,0.7587231700605394,0.7910259352765664
0.01,Validation,1,0.7049202396176887,0.6628402147750416,0.6202356202356203,0.5827771447175647
0.01,Test,0,0.7059971730497409,0.7290744254691124,0.76,0.7936653660775763
0.01,Test,1,0.7059971730497409,0.6652392478123255,0.6206357477853048,0.5816376363340388
0.01,Train,0,0.7162303664921466,0.7415810843085742,0.7660046873072653,0.7920918367346939
0.01,Train,1,0.7162303664921466,0.6737389911929543,0.6395591867756033,0.6086799276672694
0.01,Validation,0,0.7085548899508649,0.7351931330472103,0.7598979705001664,0.7863208629791141
0.01,Validation,1,0.7085548899508649,0.6637168141592921,0.6292808219178082,0.5982419013511314
0.01,Test,0,0.7084202732718584,0.7345824411134904,0.7600531738118976,0.7873536837273353
0.01,Test,1,0.7084202732718584,0.6641290556461845,0.6284734133790738,0.5964512453198763
0.01,Train,0,0.7137488079878835,0.7430693966298243,0.7627284140047427,0.7834559174706276
0.01,Train,1,0.7137488079878835,0.666077478273678,0.6392874814448293,0.6145691764066322
